Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"50g Solder Wire","Solder Wire",1,5.47,"https://www.aliexpress.com/item/1005006030104628.html","aliexpress"
"Silicone Wire 26AWG","Handwiring the project.",1,2.86,"https://www.aliexpress.com/item/1005009017260144.html","Aliexpress"
"Potentiometer Knobs","Turning the potentiometer shaft",1,2.46,"https://www.aliexpress.com/item/4000384443774.html","Aliexpress"
"M3 Countersunk Screws","Hold everything together.",1,1.99,"https://www.aliexpress.com/item/32968097507.html","Aliexpress"
"1.8"" IFT Display","Displays the currently playing track and provides user feedback.",1,2.29,"https://www.aliexpress.com/item/33015586094.html","Aliexpress"
"ESP32 - Lolin C3 Mini","The main MC for the project",1,6.76,"https://www.aliexpress.com/item/1005004740051202.html","Aliexpress"
"10k Ohm Potentiometer","Volume knob.",1,2.48,"https://www.aliexpress.com/item/1005009268917362.html","Aliexpress"
